sample,latency_ns,latency_cycles,poll_iterations
654,7320.0,366.00,1
655,7320.0,366.00,1
656,7320.0,366.00,1
657,7320.0,366.00,1
658,7320.0,366.00,1
659,7320.0,366.00,1
660,7320.0,366.00,1
661,7320.0,366.00,1
662,7320.0,366.00,1
663,7320.0,366.00,1
664,7320.0,366.00,1
665,7320.0,366.00,1
666,7320.0,366.00,1
667,7320.0,366.00,1
668,7320.0,366.00,1
669,7320.0,366.00,1
670,7320.0,366.00,1
671,7320.0,366.00,1
672,7320.0,366.00,1
673,7320.0,366.00,1
674,7320.0,366.00,1
675,7320.0,366.00,1
676,7320.0,366.00,1
677,7320.0,366.00,1
678,7320.0,366.00,1
679,7320.0,366.00,1
680,7320.0,366.00,1
681,7320.0,366.00,1
682,7320.0,366.00,1
683,7320.0,366.00,1
684,7320.0,366.00,1
685,7320.0,366.00,1
686,7320.0,366.00,1
687,7320.0,366.00,1
688,7320.0,366.00,1
689,7320.0,366.00,1
690,7320.0,366.00,1
691,7320.0,366.00,1
692,7320.0,366.00,1
693,7320.0,366.00,1
694,7320.0,366.00,1
695,7320.0,366.00,1
696,7320.0,366.00,1
697,7320.0,366.00,1
698,7320.0,366.00,1
699,7320.0,366.00,1
700,7320.0,366.00,1
701,7320.0,366.00,1
702,7320.0,366.00,1
703,7320.0,366.00,1
704,7320.0,366.00,1
705,7320.0,366.00,1
706,7320.0,366.00,1
707,7320.0,366.00,1
708,7320.0,366.00,1
709,7320.0,366.00,1
710,7320.0,366.00,1
711,7320.0,366.00,1
712,7320.0,366.00,1
713,7320.0,366.00,1
714,7320.0,366.00,1
715,7320.0,366.00,1
716,7320.0,366.00,1
717,7320.0,366.00,1
718,7320.0,366.00,1
719,7320.0,366.00,1
720,7320.0,366.00,1
721,7320.0,366.00,1
722,7320.0,366.00,1
723,7320.0,366.00,1
724,7320.0,366.00,1
725,7320.0,366.00,1
726,7320.0,366.00,1
727,7320.0,366.00,1
728,7320.0,366.00,1
729,7320.0,366.00,1
730,7320.0,366.00,1
731,7320.0,366.00,1
732,7320.0,366.00,1
733,7320.0,366.00,1
734,7320.0,366.00,1
735,7320.0,366.00,1
736,7320.0,366.00,1
737,7320.0,366.00,1
738,7320.0,366.00,1
739,7320.0,366.00,1
740,7320.0,366.00,1
741,7320.0,366.00,1
742,7320.0,366.00,1
743,7320.0,366.00,1
744,7320.0,366.00,1
745,7320.0,366.00,1
746,7320.0,366.00,1
747,7320.0,366.00,1
748,7320.0,366.00,1
749,7320.0,366.00,1
750,7320.0,366.00,1
751,7320.0,366.00,1
752,7320.0,366.00,1
753,7320.0,366.00,1
754,7320.0,366.00,1
755,7320.0,366.00,1
756,7320.0,366.00,1
757,7320.0,366.00,1
758,7320.0,366.00,1
759,7320.0,366.00,1
760,7320.0,366.00,1
761,7320.0,366.00,1
762,7320.0,366.00,1
763,7320.0,366.00,1
764,7320.0,366.00,1
765,7320.0,366.00,1
766,7320.0,366.00,1
767,7320.0,366.00,1
768,7320.0,366.00,1
769,7320.0,366.00,1
770,7320.0,366.00,1
771,7320.0,366.00,1
772,7320.0,366.00,1
773,7320.0,366.00,1
774,7320.0,366.00,1
775,7320.0,366.00,1
776,7320.0,366.00,1
777,7320.0,366.00,1
778,7320.0,366.00,1
779,7320.0,366.00,1
780,7320.0,366.00,1
781,7320.0,366.00,1
782,7320.0,366.00,1
783,7320.0,366.00,1
784,7320.0,366.00,1
785,7320.0,366.00,1
786,7320.0,366.00,1
787,7320.0,366.00,1
788,7320.0,366.00,1
789,7320.0,366.00,1
790,7320.0,366.00,1
791,7320.0,366.00,1
792,7320.0,366.00,1
793,7320.0,366.00,1
794,7320.0,366.00,1
795,7320.0,366.00,1
796,7320.0,366.00,1
797,7320.0,366.00,1
798,7320.0,366.00,1
799,7320.0,366.00,1
800,7320.0,366.00,1
801,7320.0,366.00,1
802,7320.0,366.00,1
803,7320.0,366.00,1
804,7320.0,366.00,1
805,7320.0,366.00,1
806,7320.0,366.00,1
807,7320.0,366.00,1
808,7320.0,366.00,1
809,7320.0,366.00,1
810,7320.0,366.00,1
811,7320.0,366.00,1
812,7320.0,366.00,1
813,7320.0,366.00,1
814,7320.0,366.00,1
815,7320.0,366.00,1
816,7320.0,366.00,1
817,7320.0,366.00,1
818,7320.0,366.00,1
819,7320.0,366.00,1
820,7320.0,366.00,1
821,7320.0,366.00,1
822,7320.0,366.00,1
823,7320.0,366.00,1
824,7320.0,366.00,1
825,7320.0,366.00,1
826,7320.0,366.00,1
827,7320.0,366.00,1
828,7320.0,366.00,1
829,7320.0,366.00,1
830,7320.0,366.00,1
831,7320.0,366.00,1
832,7320.0,366.00,1
833,7320.0,366.00,1
834,7320.0,366.00,1
835,7320.0,366.00,1
836,7320.0,366.00,1
837,7320.0,366.00,1
838,7320.0,366.00,1
839,7320.0,366.00,1
840,7320.0,366.00,1
841,7320.0,366.00,1
842,7320.0,366.00,1
843,7320.0,366.00,1
844,7320.0,366.00,1
845,7320.0,366.00,1
846,7320.0,366.00,1
847,7320.0,366.00,1
848,7320.0,366.00,1
849,7320.0,366.00,1
850,7320.0,366.00,1
851,7320.0,366.00,1
852,7320.0,366.00,1
853,7320.0,366.00,1
854,7320.0,366.00,1
855,7320.0,366.00,1
856,7320.0,366.00,1
857,7320.0,366.00,1
