sample,latency_ns,latency_cycles,total_poll_iterations
857,37420.0,1871.00,3
858,37420.0,1871.00,3
859,37420.0,1871.00,3
860,37420.0,1871.00,3
861,37420.0,1871.00,3
862,37420.0,1871.00,3
863,37420.0,1871.00,3
864,37420.0,1871.00,3
865,37420.0,1871.00,3
866,37420.0,1871.00,3
867,37420.0,1871.00,3
868,37420.0,1871.00,3
869,37420.0,1871.00,3
870,37420.0,1871.00,3
871,37420.0,1871.00,3
872,37420.0,1871.00,3
873,37420.0,1871.00,3
874,37420.0,1871.00,3
875,37420.0,1871.00,3
876,37430.0,1871.50,3
877,37420.0,1871.00,3
878,37420.0,1871.00,3
879,37420.0,1871.00,3
880,37420.0,1871.00,3
881,37420.0,1871.00,3
882,37420.0,1871.00,3
883,37420.0,1871.00,3
884,37420.0,1871.00,3
885,37420.0,1871.00,3
886,37420.0,1871.00,3
887,37420.0,1871.00,3
888,37420.0,1871.00,3
889,37420.0,1871.00,3
890,37420.0,1871.00,3
891,37420.0,1871.00,3
892,37420.0,1871.00,3
893,37420.0,1871.00,3
894,37420.0,1871.00,3
895,37420.0,1871.00,3
896,37420.0,1871.00,3
897,37420.0,1871.00,3
898,37420.0,1871.00,3
899,37420.0,1871.00,3
900,37420.0,1871.00,3
901,37420.0,1871.00,3
902,37420.0,1871.00,3
903,37420.0,1871.00,3
904,37420.0,1871.00,3
905,37420.0,1871.00,3
906,37420.0,1871.00,3
907,37420.0,1871.00,3
908,37430.0,1871.50,3
909,37420.0,1871.00,3
910,37420.0,1871.00,3
911,37420.0,1871.00,3
912,37420.0,1871.00,3
913,37420.0,1871.00,3
914,37420.0,1871.00,3
915,37420.0,1871.00,3
916,37420.0,1871.00,3
917,37420.0,1871.00,3
918,37420.0,1871.00,3
919,37420.0,1871.00,3
920,37420.0,1871.00,3
921,37420.0,1871.00,3
922,37420.0,1871.00,3
923,37420.0,1871.00,3
924,37420.0,1871.00,3
925,37420.0,1871.00,3
926,37420.0,1871.00,3
927,37420.0,1871.00,3
928,37420.0,1871.00,3
929,37420.0,1871.00,3
930,37420.0,1871.00,3
931,37420.0,1871.00,3
932,37420.0,1871.00,3
933,37420.0,1871.00,3
934,37420.0,1871.00,3
935,37420.0,1871.00,3
936,37420.0,1871.00,3
937,37420.0,1871.00,3
938,37420.0,1871.00,3
939,37420.0,1871.00,3
940,37420.0,1871.00,3
941,37420.0,1871.00,3
942,37420.0,1871.00,3
943,37420.0,1871.00,3
944,37420.0,1871.00,3
945,37420.0,1871.00,3
946,37420.0,1871.00,3
947,37420.0,1871.00,3
948,37420.0,1871.00,3
949,37420.0,1871.00,3
950,37420.0,1871.00,3
951,37420.0,1871.00,3
952,37420.0,1871.00,3
953,37420.0,1871.00,3
954,37420.0,1871.00,3
955,37420.0,1871.00,3
956,37420.0,1871.00,3
957,37420.0,1871.00,3
958,37420.0,1871.00,3
959,37420.0,1871.00,3
960,37420.0,1871.00,3
961,37420.0,1871.00,3
962,37420.0,1871.00,3
963,37420.0,1871.00,3
964,37420.0,1871.00,3
965,37420.0,1871.00,3
